id,gid,x,y,v_x,v_y,radius,time
0,0,7.993437,0.000002,-0.131269,0.000042,0.500000,0.050000
1,1,5.652748,5.652748,-0.082035,-0.082036,0.500000,0.050000
2,2,0.000002,7.993178,0.000038,-0.136443,0.500000,0.050000
3,3,-5.652172,5.652173,0.093563,-0.093541,0.500000,0.050000
4,4,-7.994094,0.000001,0.118123,0.000028,0.500000,0.050000
5,5,-5.652080,-5.652093,0.095396,0.095333,0.500000,0.050000
6,6,0.000000,-7.993084,0.000000,0.138326,0.500000,0.050000
7,7,5.652674,-5.652660,-0.083721,0.083796,0.500000,0.050000
0,0,7.980965,0.000006,-0.249430,0.000078,0.500000,0.100000
1,1,5.644956,5.644956,-0.155854,-0.155849,0.500000,0.100000
2,2,0.000006,7.980216,0.000087,-0.259239,0.500000,0.100000
3,3,-5.643283,5.643287,0.177772,-0.177724,0.500000,0.100000
4,4,-7.982875,0.000003,0.224376,0.000047,0.500000,0.100000
5,5,-5.643016,-5.643037,0.181276,0.181136,0.500000,0.100000
6,6,0.000001,-7.979943,0.000016,0.262816,0.500000,0.100000
7,7,5.644721,-5.644700,-0.159064,0.159195,0.500000,0.100000
0,0,7.963174,0.000011,-0.355825,0.000101,0.500000,0.150000
1,1,5.633843,5.633844,-0.222256,-0.222228,0.500000,0.150000
2,2,0.000015,7.961729,0.000173,-0.369746,0.500000,0.150000
3,3,-5.630605,5.630613,0.253570,-0.253480,0.500000,0.150000
4,4,-7.966883,0.000006,0.319846,0.000049,0.500000,0.150000
5,5,-5.630085,-5.630118,0.258633,0.258367,0.500000,0.150000
6,6,0.000005,-7.961201,0.000073,0.374846,0.500000,0.150000
7,7,5.633378,-5.633350,-0.226857,0.227010,0.500000,0.150000
0,0,7.940591,0.000017,-0.451656,0.000109,0.500000,0.200000
1,1,5.619745,5.619750,-0.281965,-0.281892,0.500000,0.200000
2,2,0.000030,7.938269,0.000311,-0.469191,0.500000,0.200000
3,3,-5.614515,5.614530,0.321802,-0.321647,0.500000,0.200000
4,4,-7.946607,0.000006,0.405511,0.000020,0.500000,0.200000
5,5,-5.613666,-5.613723,0.328376,0.327896,0.500000,0.200000
6,6,0.000014,-7.937418,0.000185,0.475659,0.500000,0.200000
7,7,5.618986,-5.618951,-0.287847,0.287979,0.500000,0.200000
0,0,7.913691,0.000021,-0.538001,0.000100,0.500000,0.250000
1,1,5.602963,5.602975,-0.335637,-0.335494,0.500000,0.250000
2,2,0.000055,7.910335,0.000507,-0.558677,0.500000,0.250000
3,3,-5.595353,5.595381,0.383232,-0.382985,0.500000,0.250000
4,4,-7.922499,0.000003,0.482175,-0.000071,0.500000,0.250000
5,5,-5.594095,-5.594197,0.391411,0.390526,0.500000,0.250000
6,6,0.000032,-7.909099,0.000361,0.566372,0.500000,0.250000
7,7,5.601850,-5.601812,-0.342709,0.342773,0.500000,0.250000
0,0,7.882900,0.000025,-0.615828,0.000069,0.500000,0.300000
1,1,5.583770,5.583794,-0.383858,-0.383625,0.500000,0.300000
2,2,0.000094,7.878375,0.000767,-0.639197,0.500000,0.300000
3,3,-5.573426,5.573472,0.438547,-0.438175,0.500000,0.300000
4,4,-7.894912,-0.000004,0.551731,-0.000142,0.500000,0.300000
5,5,-5.571726,-5.571853,0.447387,0.446875,0.500000,0.300000
6,6,0.000062,-7.876699,0.000603,0.647993,0.500000,0.300000
7,7,5.582248,-5.582212,-0.392051,0.391998,0.500000,0.300000
0,0,7.848599,0.000026,-0.686011,0.000013,0.500000,0.350000
1,1,5.562412,5.562453,-0.427158,-0.426817,0.500000,0.350000
2,2,0.000148,7.842793,0.001090,-0.711648,0.500000,0.350000
3,3,-5.549008,5.549081,0.488355,-0.487830,0.500000,0.350000
4,4,-7.864314,-0.000032,0.611950,-0.000556,0.500000,0.350000
5,5,-5.546729,-5.546957,0.499943,0.497925,0.500000,0.350000
6,6,0.000108,-7.840628,0.000913,0.721431,0.500000,0.350000
7,7,5.560427,-5.560402,-0.436420,0.436204,0.500000,0.350000
0,0,7.811132,0.000022,-0.749340,-0.000076,0.500000,0.400000
1,1,5.539112,5.539175,-0.466005,-0.465549,0.500000,0.400000
2,2,0.000222,7.803951,0.001474,-0.776836,0.500000,0.400000
3,3,-5.522345,5.522455,0.533255,-0.532520,0.500000,0.400000
4,4,-7.830902,-0.000063,0.668249,-0.000630,0.500000,0.400000
