id,gid,x,y,v_x,v_y,radius,time
0,0,7.993438,0.000002,-0.131233,0.000042,0.500000,0.050000
1,1,5.652750,5.652749,-0.082010,-0.082011,0.500000,0.050000
2,2,0.000002,7.993180,0.000038,-0.136407,0.500000,0.050000
3,3,-5.652173,5.652174,0.093537,-0.093515,0.500000,0.050000
4,4,-7.994096,0.000001,0.118087,0.000028,0.500000,0.050000
5,5,-5.652081,-5.652095,0.095371,0.095308,0.500000,0.050000
6,6,0.000000,-7.993085,0.000000,0.138290,0.500000,0.050000
7,7,5.652675,-5.652661,-0.083695,0.083770,0.500000,0.050000
0,0,7.980973,0.000006,-0.249310,0.000081,0.500000,0.100000
1,1,5.644961,5.644960,-0.155777,-0.155780,0.500000,0.100000
2,2,0.000005,7.980223,0.000074,-0.259137,0.500000,0.100000
3,3,-5.643289,5.643292,0.177689,-0.177650,0.500000,0.100000
4,4,-7.982880,0.000003,0.224309,0.000053,0.500000,0.100000
5,5,-5.643023,-5.643042,0.181173,0.181057,0.500000,0.100000
6,6,0.000000,-7.979950,0.000002,0.262713,0.500000,0.100000
7,7,5.644726,-5.644705,-0.158981,0.159123,0.500000,0.100000
0,0,7.963196,0.000012,-0.355547,0.000116,0.500000,0.150000
1,1,5.633855,5.633855,-0.222109,-0.222112,0.500000,0.150000
2,2,0.000011,7.961745,0.000109,-0.369555,0.500000,0.150000
3,3,-5.630619,5.630625,0.253389,-0.253337,0.500000,0.150000
4,4,-7.966889,0.000007,0.319828,0.000076,0.500000,0.150000
5,5,-5.630105,-5.630132,0.258359,0.258197,0.500000,0.150000
6,6,0.000001,-7.961217,0.000007,0.374653,0.500000,0.150000
7,7,5.633392,-5.633361,-0.226679,0.226881,0.500000,0.150000
0,0,7.940639,0.000019,-0.451131,0.000148,0.500000,0.200000
1,1,5.619768,5.619768,-0.281734,-0.281735,0.500000,0.200000
2,2,0.000018,7.938300,0.000143,-0.468895,0.500000,0.200000
3,3,-5.614545,5.614554,0.321478,-0.321416,0.500000,0.200000
4,4,-7.946604,0.000012,0.405692,0.000095,0.500000,0.200000
5,5,-5.613715,-5.613753,0.327787,0.327588,0.500000,0.200000
6,6,0.000001,-7.937449,0.000014,0.475359,0.500000,0.200000
7,7,5.619016,-5.618972,-0.287534,0.287787,0.500000,0.200000
