id,gid,x,y,v_x,v_y,radius,time
0,0,10.159089,0.356841,-0.140227,0.034743,0.200000,0.050000
1,0,12.539182,0.591445,-0.184355,-0.001632,0.200000,0.050000
2,0,7.347040,-0.121076,0.500000,0.018096,0.200000,0.050000
3,0,6.779540,-0.865378,-0.500000,-0.500000,0.200000,0.050000
4,0,8.834257,0.710548,-0.015857,0.210730,0.200000,0.050000
5,0,5.248660,0.509603,0.500000,-0.500000,0.200000,0.050000
6,0,13.695934,-1.059859,0.008684,-0.200575,0.200000,0.050000
7,0,10.855419,-0.171016,-0.091621,-0.023423,0.200000,0.050000
8,0,13.298945,-0.528338,-0.279092,0.182051,0.200000,0.050000
9,0,8.016292,-0.231047,-0.265159,-0.208456,0.200000,0.050000
10,0,6.888300,0.244538,0.500000,0.500000,0.200000,0.050000
11,0,14.755394,-0.690978,-0.110110,0.005401,0.200000,0.050000
12,0,13.384900,0.570504,-0.500000,-0.500000,0.200000,0.050000
13,0,8.529238,0.132546,0.058766,0.015191,0.200000,0.050000
14,0,6.837340,-0.389901,0.500000,0.500000,0.200000,0.050000
15,0,13.637100,1.045840,0.500000,0.500000,0.200000,0.050000
16,0,6.420660,0.024987,-0.500000,-0.500000,0.200000,0.050000
17,0,6.772219,0.893963,-0.144011,0.221321,0.200000,0.050000
18,0,9.492266,-0.438784,-0.123275,-0.022858,0.200000,0.050000
19,0,7.357290,-0.852226,0.500000,-0.256720,0.200000,0.050000
20,1,7.299229,7.707103,-0.016810,-0.125138,0.200000,0.050000
21,1,8.365136,-4.201797,-0.019283,-0.132937,0.200000,0.050000
22,1,7.111618,2.329512,0.000554,-0.130763,0.200000,0.050000
23,1,9.086937,-3.083137,-0.027862,-0.128940,0.200000,0.050000
24,1,5.310730,5.483239,0.011810,-0.134628,0.200000,0.050000
25,1,8.411728,-2.035739,-0.022842,-0.131186,0.200000,0.050000
26,1,6.821927,6.561641,-0.000856,-0.133370,0.200000,0.050000
27,1,5.175054,1.235751,0.160671,0.250412,0.200000,0.050000
28,1,4.809940,3.016889,0.007800,-0.117615,0.200000,0.050000
29,1,4.787470,0.734054,-0.500000,0.500000,0.200000,0.050000
30,1,7.602203,3.440368,-0.018539,-0.130431,0.200000,0.050000
31,1,7.274743,-4.351676,-0.021348,-0.134525,0.200000,0.050000
32,1,5.645748,2.233695,0.020370,-0.119306,0.200000,0.050000
33,1,7.976797,5.358012,-0.010453,-0.121961,0.200000,0.050000
34,1,4.927601,6.630346,0.009626,-0.119089,0.200000,0.050000
35,1,9.196438,3.774459,0.242165,-0.204429,0.200000,0.050000
36,1,6.196746,4.201943,0.005128,-0.127544,0.200000,0.050000
37,1,8.539561,3.857105,-0.263183,-0.110499,0.200000,0.050000
38,1,9.141384,4.628664,0.001487,-0.063925,0.200000,0.050000
39,1,6.798829,8.862470,-0.001613,-0.120605,0.200000,0.050000
0,0,10.147074,0.359117,-0.240288,0.045526,0.200000,0.100000
1,0,12.523861,0.592323,-0.306430,0.017562,0.200000,0.100000
